0,1,0
1,1,1
2,1,0
3,1,0
4,0,1
5,0,0
6,1,1
7,0,1
8,0,1
9,0,1
10,0,1
11,1,1
12,1,0
13,0,0
14,0,0
15,0,1
16,0,1
17,0,1
18,0,0
19,0,1
20,0,1
21,0,1
22,0,1
23,1,0
24,0,1
25,1,0
26,0,1
27,0,0
28,0,1
29,1,0
30,1,0
31,0,1
32,1,1
33,0,0
34,1,1
35,1,1
36,1,0
37,1,0
38,0,0
39,0,1
40,1,1
41,1,0
42,0,1
43,1,0
44,0,0
45,1,0
46,0,0
47,0,1
48,0,1
49,0,1
50,0,1
51,0,1
52,0,1
53,0,1
54,0,1
55,1,0
56,1,1
57,0,1
58,0,1
59,0,0
60,0,1
61,0,1
62,0,1
63,0,1
64,1,0
65,0,1
66,1,0
67,1,0
68,1,1
69,0,1
70,1,0
71,1,0
72,1,1
73,1,0
74,0,1
75,1,0
76,0,0
77,1,0
78,1,1
79,1,1
80,0,1
81,0,1
82,1,1
83,0,1
84,0,1
85,1,1
86,1,1
87,0,1
88,0,0
89,0,1
90,1,1
91,0,1
92,1,1
93,0,1
94,1,1
95,1,1
96,0,1
97,1,1
98,0,1
99,1,0
100,0,1
101,1,0
102,0,1
103,1,1
104,0,0
105,0,1
106,1,0
107,1,1
108,1,1
109,0,1
110,0,1
111,0,1
112,0,1
113,0,0
114,0,1
115,0,0
116,1,1
117,0,1
118,1,0
119,1,0
120,0,1
121,0,1
122,1,1
123,0,1
124,0,1
125,0,1
126,1,0
127,0,1
