0,1,0
1,0,0
2,0,0
3,1,0
4,0,1
5,0,1
6,1,0
7,0,1
8,0,1
9,0,0
10,0,1
11,1,0
12,1,1
13,1,1
14,0,1
15,0,0
16,0,0
17,0,0
18,1,1
19,1,1
20,0,1
21,0,0
22,0,0
23,0,0
24,0,1
25,0,0
26,0,1
27,0,1
28,0,1
29,1,0
30,0,1
31,0,0
32,0,1
33,1,1
34,1,0
35,1,1
36,1,1
37,0,0
38,0,1
39,1,0
40,1,0
41,1,1
42,0,1
43,1,1
44,0,1
45,1,1
46,1,1
47,0,1
48,0,0
49,0,0
50,1,1
51,0,1
52,0,1
53,1,1
54,0,0
55,1,1
56,1,1
57,1,1
58,0,0
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,1,1
65,0,0
66,1,1
67,1,1
68,1,1
69,1,0
70,1,1
71,1,0
72,1,0
73,1,1
74,0,0
75,1,1
76,1,1
77,1,1
78,0,0
79,1,1
80,0,1
81,0,1
82,0,0
83,0,0
84,0,0
85,1,0
86,0,1
87,0,0
88,0,1
89,0,0
90,1,1
91,0,1
92,1,0
93,0,1
94,1,1
95,1,1
96,0,0
97,1,0
98,0,0
99,0,1
100,0,0
101,1,1
102,0,1
103,1,0
104,0,0
105,0,0
106,1,1
107,0,0
108,1,1
109,0,0
110,1,0
111,0,1
112,1,1
113,0,1
114,0,0
115,0,1
116,1,0
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,0,0
125,0,1
126,1,1
127,0,1
