0,0,0,0,1
1,0,0,1,0
2,1,1,0,0
3,0,1,0,1
4,1,0,1,0
5,0,0,0,1
6,0,0,1,0
7,0,0,0,1
8,0,0,0,1
9,0,0,0,1
10,0,0,0,1
11,0,1,0,1
12,1,0,1,0
13,0,0,0,1
14,1,1,0,0
15,0,0,0,1
16,1,1,1,0
17,0,0,0,1
18,0,0,1,0
19,0,1,0,1
20,0,0,0,1
21,0,1,0,0
22,0,1,0,1
23,0,1,0,1
24,0,1,0,1
25,1,0,0,0
26,1,0,0,0
27,0,0,1,1
28,0,1,0,1
29,0,0,1,0
30,0,0,0,1
31,0,0,0,1
32,0,0,0,1
33,0,0,0,1
34,0,1,0,1
35,1,0,0,1
36,0,0,1,0
37,1,0,1,0
38,1,0,1,0
39,0,0,1,0
40,0,1,0,1
41,1,1,1,0
42,1,0,0,0
43,1,0,1,0
44,1,1,1,0
45,1,1,1,0
46,0,1,0,0
47,1,0,1,0
48,0,0,0,1
49,0,0,1,1
50,1,0,1,0
51,0,0,0,1
52,0,1,0,0
53,0,0,0,1
54,0,0,0,1
55,1,0,1,0
56,0,0,0,1
57,0,0,0,1
58,1,1,1,0
59,0,0,0,1
60,0,0,0,1
61,0,0,0,1
62,0,1,1,0
63,0,0,1,0
64,1,1,1,0
65,0,0,1,1
66,0,0,0,1
67,0,0,0,1
68,1,0,1,0
69,0,0,1,1
70,1,0,1,0
71,1,0,0,0
72,0,0,1,0
73,0,0,0,1
74,0,0,0,1
75,0,0,0,1
76,0,0,0,1
77,0,1,0,1
78,0,0,0,1
79,1,0,1,0
80,0,0,0,1
81,0,0,0,1
82,0,1,1,1
83,0,0,0,1
84,1,0,1,0
85,1,1,1,0
86,0,0,0,1
87,1,0,1,0
88,0,0,1,1
89,0,0,1,1
90,0,1,0,1
91,0,0,1,0
92,0,1,0,0
93,0,0,0,1
94,0,0,0,1
95,0,0,0,1
96,1,0,1,0
97,0,0,1,1
98,1,0,1,0
99,0,0,1,0
100,0,1,1,0
101,0,0,0,1
102,0,1,1,0
103,1,0,0,0
104,0,0,0,0
105,1,0,1,0
106,0,0,0,1
107,0,0,0,1
108,1,0,0,0
109,1,0,1,0
110,0,0,1,1
111,1,0,1,0
112,1,0,1,0
113,1,0,1,0
114,1,0,0,1
115,1,1,0,0
116,1,0,1,0
117,0,1,0,1
118,1,0,0,0
119,0,0,1,0
120,1,0,1,0
121,0,0,0,1
122,0,0,0,1
123,1,1,1,0
124,0,1,0,0
125,1,0,1,0
126,0,0,0,1
127,0,0,0,1
